species,Guild,source
Cydia fagiglandana,Moths,original
Charanyca ferruginea,Moths,original
Erebia epiphron,Butterflies,original
Simulium carthusiense,Other Flies,original
Platycheirus albimanus,Hoverflies,original
Biston strataria,Moths,original
Abraxas sylvata,Moths,original
Colias hyale,Butterflies,original
Idaea degeneraria,Moths,original
Plutella xylostella,Moths,original
Scopula incanata,Moths,original
Deilephila elpenor,Moths,original
Macaria brunneata,Moths,original
Eulithis populata,Moths,original
Episyrphus balteatus,Hoverflies,original
Pyrgus bellieri,Butterflies,original
Dichagyris musiva,Moths,original
Plebejus argus,Butterflies,original
Idaea aversata,Moths,original
Apamea monoglypha,Moths,original
Clossiana dia,Butterflies,original
Miltochrista miniata,Moths,original
Vespa crabro,Social Wasps,original
Pyrgus serratulae,Butterflies,original
Lapposyrphus lapponicus,Hoverflies,original
Hyles gallii,Moths,original
Hadena magnolii,Moths,original
Selidosema taeniolaria,Moths,original
Antitype chi,Moths,original
Melanchra persicariae,Moths,original
Lasius niger,Ants,original
Angerona prunaria,Moths,original
Apamea lithoxylaea,Moths,original
Euproctis chrysorrhoea,Moths,original
Etiella zinckenella,Moths,original
Osmia cornuta,Wild Bees,original
Pararge aegeria,Butterflies,original
Chrysotoxum festivum,Hoverflies,original
Cerura erminea,Moths,original
Andrena fulvago,Wild Bees,original
Alsophila aescularia,Moths,original
Aricia cramera,Butterflies,original
Amata phegea,Moths,original
Lacanobia w-latinum,Moths,original
Lasionhada proxima,Moths,original
Cyclophora puppillaria,Moths,original
Catoptria mytilella,Moths,original
Perizoma hydrata,Moths,original
Eudonia mercurella,Moths,original
Noctua janthina,Moths,original
Acompsia tripunctella,Moths,original
Conisania luteago,Moths,original
Hecatera bicolorata,Moths,original
Pyrgus fritillarius,Butterflies,original
Idaea aureolaria,Moths,original
Erebia lefebvrei,Butterflies,original
Scopula ornata,Moths,original
Hipparchia fagi,Butterflies,original
Charaxes jasius,Butterflies,original
Acherontia atropos,Moths,original
Formica lemani,Ants,original
Perizoma alchemillata,Moths,original
Anthidium oblongatum,Wild Bees,original
Bombus hypnorum,Bumblebees,original
Peribatodes secundaria,Moths,original
Thisanotia chrysonuchella,Moths,original
Hada plebeja,Moths,original
Hypena proboscidalis,Moths,original
Lacanobia thalassina,Moths,original
Cheilosia illustrata,Hoverflies,original
Melanargia lachesis,Butterflies,original
Aglaope infausta,Moths,original
Mormo maura,Moths,original
Papilio alexanor,Butterflies,original
Rhyacia helvetina,Moths,original
Anthidium punctatum,Wild Bees,original
Euchloe crameri,Butterflies,original
Albulina orbitulus,Butterflies,original
Pterostoma palpina,Moths,original
Drepana curvatula,Moths,original
Eilema caniola,Moths,original
Agapeta zoegana,Moths,original
Hoplodrina respersa,Moths,original
Odontopera bidentata,Moths,original
Notocelia cynosbatella,Moths,original
Yponomeuta evonymella,Moths,original
